Line [lineName=null, startingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:19:00, arrivalTime=14:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:23:00, arrivalTime=14:27:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:23:00, arrivalTime=14:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:27:00, arrivalTime=14:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:30:00, arrivalTime=16:53:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:30:00, arrivalTime=16:57:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:30:00, arrivalTime=17:01:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:30:00, arrivalTime=17:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:53:00, arrivalTime=16:57:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:53:00, arrivalTime=17:01:00, price=0]]------------------------------------------
